parameter_degree,alpha,derivative_weight,q_validation_r2,q_validation_active_p95_relative_error,q_validation_rmse_C,dqdv_validation_median_relative_error,dqdv_validation_p95_relative_error,dqdv_validation_max_relative_error,q_accuracy_eligible,selected,selection_criterion
1,0.0001,0.1,0.999963093287784,0.005704513889156669,4.871387963589174e-18,0.0571428944347945,0.07720409485896502,0.07937937709521989,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,0.3,0.9999442015583445,0.008669031280952836,5.9897828023505405e-18,0.03066605931521167,0.05940687130912155,0.06327955881413444,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,1.0,0.9999251666320143,0.011798582439253488,6.936616512256877e-18,0.018584674922284817,0.036344019396134346,0.03847284625175621,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,3.0,0.9999143728304382,0.01380858769140662,7.420032948701558e-18,0.014731173638971251,0.022459555454892127,0.022526162122907385,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,10.0,0.9999092793136473,0.01467057787954913,7.637534818498047e-18,0.014464099062509974,0.02160452440559955,0.023547710395634597,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,0.0,0.9999916327066213,0.003056591666837871,2.3194901783860653e-18,0.08831492462196713,0.16950208547602205,0.1721758031651624,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,0.003,0.999991235259963,0.0031283160508958074,2.3739390216539757e-18,0.08757929630127954,0.16081413975983191,0.16189873070459102,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,0.01,0.9999888772284679,0.003271222122144212,2.6742779768689266e-18,0.08713246842004967,0.14710274399054885,0.15065593984215042,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,0.03,0.999980664034955,0.0041125457144887126,3.526005339890545e-18,0.0840847336863157,0.11849678655922713,0.1265262317279,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,0.1,0.9999619724274765,0.005639395858503871,4.9448069518731474e-18,0.06254242350565857,0.07998876776714575,0.08006795100928925,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,0.3,0.9999410666073626,0.008258036907158033,6.155746984528964e-18,0.03560700851745061,0.06186052385970481,0.06550608594912578,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,1.0,0.9999200182947321,0.011466719104132677,7.171258360547464e-18,0.017385069217775197,0.038922624561926855,0.04134928448224071,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,3.0,0.9999074442036378,0.013912487385606673,7.714394612779002e-18,0.015369029514778056,0.023887808214873484,0.02408026162006065,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.001,10.0,0.9999012407448978,0.015101982073544093,7.968726884311335e-18,0.015118946412998244,0.02142908424520066,0.023424965410747702,True,True,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,0.0,0.9999895910891641,0.0033797557969190437,2.58703725981465e-18,0.08818049100572854,0.171233141571958,0.17496971592612764,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
